group,chain_size
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,4
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,2
monolingual,2
monolingual,2
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,2
monolingual,2
monolingual,2
monolingual,2
monolingual,2
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,1
monolingual,8
monolingual,1
monolingual,1
monolingual,3
monolingual,1
monolingual,2
